"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Congressional District 8 - U.S. Representative","Santiago Ramos","(Prefers Democratic Party)",17900,13.82,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Independent///No Party)",3153,2.43,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",67100,56.28,"Congressional"
"Congressional District 9 - U.S. Representative","Jesse Wineberry","(Prefers Democratic Party)",17613,14.77,"Congressional"
"Congressional District 9 - U.S. Representative","Daniel Smith","(Prefers Democrat Party)",3935,3.3,"Congressional"
"Congressional District 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",27848,23.36,"Congressional"
"Congressional District 9 - U.S. Representative","Jeary Flener","(States No Party Preference)",2733,2.29,"Congressional"
"Congressional District 10 - U.S. Representative","Jim Postma","(Prefers Republican Party)",46473,36.74,"Congressional"
"Congressional District 10 - U.S. Representative","Richard Boyce","(States No Party Preference)",4411,3.49,"Congressional"
"Congressional District 10 - U.S. Representative","Jennifer Gigi Ferguson","(Prefers Democratic Party)",16750,13.24,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",58865,46.53,"Congressional"
"Governor","Goodspaceguy","(Prefers Republican Party)",13191,0.95,"State Executive"
"Governor","Bill Hirt","(Prefers Republican Party)",48382,3.47,"State Executive"
"Governor","Mary Martin","(Prefers Socialist Worker Party)",10374,0.74,"State Executive"
"Governor","Steve Rubenstein","(Prefers Independent Party)",22582,1.62,"State Executive"
"Governor","David W. Blomstrom","(Prefers Fifth Republic Party)",4512,0.32,"State Executive"
"Governor","Johnathan Dodds","(Prefers Democratic Party)",14152,1.01,"State Executive"
"Governor","Patrick O'Rourke","(Prefers Democratic Party)",40572,2.91,"State Executive"
"Governor","Christian Pierre Joubert","(Prefers Holistic Party)",4103,0.29,"State Executive"
"Governor","James Robert Deal","(Prefers Democratic Party)",14623,1.05,"State Executive"
"Governor","Jay Inslee","(Prefers Democratic Party)",687412,49.3,"State Executive"
"Governor","Bill Bryant","(Prefers Republican Party)",534519,38.33,"State Executive"
"Lt. Governor","Marty McClendon","(Prefers Republican Party)",253714,19.17,"State Executive"
"Lt. Governor","Mark Greene","(Prefers Citizens Party)",12692,0.96,"State Executive"
"Lt. Governor","Phillip Yin","(Prefers Republican Party)",141680,10.7,"State Executive"
"Lt. Governor","Steve Hobbs","(Prefers Democratic Party)",202427,15.29,"State Executive"
"Lt. Governor","Karen Fraser","(Prefers Democratic Party)",207271,15.66,"State Executive"
"Lt. Governor","Bill Penor","(Prefers Republican Party)",52986,4,"State Executive"
"Lt. Governor","Paul Addis","(Prefers Libertarian Party)",26304,1.99,"State Executive"
"Lt. Governor","Daniel B. Davies","(States No Party Preference)",16491,1.25,"State Executive"
"Lt. Governor","Karen Wallace","(Prefers Democratic Party)",59175,4.47,"State Executive"
"Lt. Governor","Cyrus Habib","(Prefers Democratic Party)",294641,22.26,"State Executive"
"Lt. Governor","Javier H. Figueroa","(Prefers Republican Party)",56214,4.25,"State Executive"
"Secretary of State","Tina Podlodowski","(Prefers Democratic Party)",621732,46.13,"State Executive"
"Secretary of State","Kim Wyman","(Prefers Republican Party)",645614,47.9,"State Executive"
"Secretary of State","Tim Turner","(Prefers Libertarian Party)",80570,5.98,"State Executive"
"State Treasurer","John Paul Comerford","(Prefers Democratic Party)",230904,17.97,"State Executive"
"State Treasurer","Marko Liias","(Prefers Democratic Party)",261633,20.36,"State Executive"
"State Treasurer","Duane Davidson","(Prefers Republican Party)",322374,25.09,"State Executive"
"State Treasurer","Michael Waite","(Prefers Republican Party)",299766,23.33,"State Executive"
"State Treasurer","Alec Fisken","(Prefers Democratic Party)",170117,13.24,"State Executive"
"State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)",381828,29.09,"State Executive"
"State Auditor","David Golden","(States No Party Preference)",37727,2.87,"State Executive"
"State Auditor","Mark Wilson","(Prefers Independent Party)",96972,7.39,"State Executive"
"State Auditor","Mark Miloscia","(Prefers Republican Party)",481910,36.71,"State Executive"
"State Auditor","Jeff Sprung","(Prefers Democratic Party)",314290,23.94,"State Executive"
"Attorney General","Bob Ferguson","(Prefers Democratic Party)",906493,72.61,"State Executive"
"Attorney General","Joshua B. Trumbull","(Prefers Libertarian Party)",341932,27.39,"State Executive"
"Commissioner of Public Lands","Hilary Franz","(Prefers Democratic Party)",297074,22.8,"State Executive"
"Commissioner of Public Lands","Mary Verner","(Prefers Democratic Party)",159564,12.25,"State Executive"
"Commissioner of Public Lands","Steven M. Nielson","(Prefers Libertarian Party)",63056,4.84,"State Executive"
"Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)",183976,14.12,"State Executive"
"Commissioner of Public Lands","Karen Porterfield","(Prefers Democratic Party)",61710,4.74,"State Executive"
"Commissioner of Public Lands","Steve McLaughlin","(Prefers Republican Party)",494416,37.95,"State Executive"
"Commissioner of Public Lands","John Stillings","(Prefers Democratic Party)",43129,3.31,"State Executive"
"Superintendent of Public Instruction","John Patterson Blair","",64064,5.59,"State Executive"
"Superintendent of Public Instruction","Chris Reykdal","",240194,20.95,"State Executive"
"Superintendent of Public Instruction","Ron Higgins","",190886,16.65,"State Executive"
"Superintendent of Public Instruction","Grazyna Prouty","",22265,1.94,"State Executive"
"Superintendent of Public Instruction","Robin Fleming","",154991,13.52,"State Executive"
"Superintendent of Public Instruction","Al Runte","",37386,3.26,"State Executive"
"Superintendent of Public Instruction","Erin Jones","",295330,25.76,"State Executive"
"Superintendent of Public Instruction","KumRoon (Mr. Mak) Maksirisombat","",43491,3.79,"State Executive"
"Superintendent of Public Instruction","David Spring","",97702,8.52,"State Executive"
"Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)",772569,58.41,"State Executive"
"Insurance Commissioner","Justin Murta","(Prefers Libertarian Party)",99181,7.5,"State Executive"
"Insurance Commissioner","Richard Schrock","(Prefers Republican Party)",450830,34.09,"State Executive"
"Legislative District 1 - State Senator","Mindie Wirth","(Prefers Republican Party)",11959,40,"Legislative"
"Legislative District 1 - State Senator","Guy Palumbo","(Prefers Democratic Party)",9369,31.34,"Legislative"
"Legislative District 1 - State Senator","Luis Moscoso","(Prefers Democratic Party)",8568,28.66,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Neil Thannisch","(Prefers Republican Party)",7026,24,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Kazuaki (Kaz) Sugiyama","(Prefers Democratic Party)",3379,11.54,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Brian M. Travis","(Prefers Republican Party)",4360,14.89,"Legislative"
"Legislative District 1 - State Representative Pos. 1","Derek Stanford","(Prefers Democratic Party)",14512,49.57,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Aaron Moreau-Cook","(Prefers Democratic Party)",1792,6.1,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Jim Langston","(Prefers Republican Party)",11657,39.67,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Darshan Rauniyar","(Prefers Democratic Party)",3719,12.66,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Shelley Kloba","(Prefers Democratic Party)",9211,31.35,"Legislative"
"Legislative District 1 - State Representative Pos. 2","Kyoko Matsumoto Wright","(Prefers Democratic Party)",3003,10.22,"Legislative"
"Legislative District 2 - State Senator","Randi Becker","(Prefers Republican Party)",14103,58.04,"Legislative"
"Legislative District 2 - State Senator","Tamborine Borrelli","(Prefers Democratic Party)",3680,15.14,"Legislative"
"Legislative District 2 - State Senator","Marilyn Rasmussen","(Prefers Democratic Party)",6517,26.82,"Legislative"
"Legislative District 2 - State Representative Pos. 1","Amy Pivetta Hoffman","(Prefers Independent Dem. Party)",9944,42.11,"Legislative"
"Legislative District 2 - State Representative Pos. 1","Andrew Barkis","(Prefers Republican Party)",13670,57.89,"Legislative"
"Legislative District 2 - State Representative Pos. 2","JT Wilcox","(Prefers Republican Party)",15708,65.86,"Legislative"
"Legislative District 2 - State Representative Pos. 2","Nathaniel Downes","(Prefers Democratic Party)",3578,15,"Legislative"
"Legislative District 2 - State Representative Pos. 2","Derek Maynes","(Prefers Democratic Party)",4563,19.13,"Legislative"
"Legislative District 3 - State Senator","Andy Billig","(Prefers Democratic Party)",14751,73.1,"Legislative"
"Legislative District 3 - State Senator","James R. Apker","(Prefers Libertarian Party)",5428,26.9,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Marcus Riccelli","(Prefers Democratic Party)",14148,71.43,"Legislative"
"Legislative District 3 - State Representative Pos. 1","Randy McGlenn II","(Prefers Libertarian Party)",5660,28.57,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Timm Ormsby","(Prefers Democratic Party)",13335,62.81,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Paul Delaney","(Prefers Libertarian Party)",1729,8.14,"Legislative"
"Legislative District 3 - State Representative Pos. 2","Laura Carder","(Prefers Republican Party)",6167,29.05,"Legislative"
"Legislative District 4 - State Senator","Mike Padden","(Prefers Republican Party)",21255,100,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Scott V. Stucker","(Prefers Democratic Party)",11290,39.59,"Legislative"
"Legislative District 4 - State Representative Pos. 1","Matt Shea","(Prefers Republican Party)",17226,60.41,"Legislative"
"Legislative District 4 - State Representative Pos. 2","Bob McCaslin","(Prefers Republican Party)",21234,100,"Legislative"
"Legislative District 5 - State Senator","Mark Mullet","(Prefers Democratic Party)",15199,50.69,"Legislative"
"Legislative District 5 - State Senator","Chad Magendanz","(Prefers Republican Party)",14787,49.31,"Legislative"
"Legislative District 5 - State Representative Pos. 1","Jay Rodne","(Prefers Republican Party)",16052,54.4,"Legislative"
"Legislative District 5 - State Representative Pos. 1","Jason Ritchie","(Prefers Dem/Working Fmly Party)",13456,45.6,"Legislative"
"Legislative District 5 - State Representative Pos. 2","Darcy Burner","(Prefers Democratic Party)",11014,36.82,"Legislative"
"Legislative District 5 - State Representative Pos. 2","Paul Graves","(Prefers Republican Party)",13843,46.28,"Legislative"
"Legislative District 5 - State Representative Pos. 2","Matt Larson","(Prefers Democratic Party)",5056,16.9,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Lynnette Vehrs","(Prefers Democratic Party)",13022,42.7,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Mike Volz","(Prefers Republican Party)",8948,29.34,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Barry Pfundt","(Prefers No Political Party)",1245,4.08,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Ian Field","(Prefers Republican Party)",6007,19.7,"Legislative"
"Legislative District 6 - State Representative Pos. 1","Samuel Canty","(Prefers Republican Party)",1277,4.19,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Shar Lichty","(Prefers Democratic Party)",12835,42.03,"Legislative"
"Legislative District 6 - State Representative Pos. 2","Jeff Holy","(Prefers Republican Party)",17704,57.97,"Legislative"
"Legislative District 7 - State Representative Pos. 1","Shelly Short","(Prefers Republican Party)",25075,100,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)",23161,79.11,"Legislative"
"Legislative District 7 - State Representative Pos. 2","Mike Foster","(Prefers Libertarian Party)",6117,20.89,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)",13116,54.3,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Rick Jansons","(Prefers Republican Party)",7633,31.6,"Legislative"
"Legislative District 8 - State Representative Pos. 1","Ryan Knight Cooper","(Prefers Libertarian Party)",3407,14.1,"Legislative"
"Legislative District 8 - State Representative Pos. 2","Steve Simmons","(Prefers Republican Party)",8288,35.85,"Legislative"
"Legislative District 8 - State Representative Pos. 2","Larry Haler","(Prefers Republican Party)",14829,64.15,"Legislative"
"Legislative District 9 - State Senator","Mark G. Schoesler","(Prefers G.O.P Party)",16271,100,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Mary Dye","(Prefers Republican Party)",12813,57.71,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Jennifer Goulet","(Prefers Democratic Party)",6697,30.16,"Legislative"
"Legislative District 9 - State Representative Pos. 1","Hailey Roemer","(Prefers Republican Party)",2693,12.13,"Legislative"
"Legislative District 9 - State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)",16816,100,"Legislative"
"Legislative District 10 - State Senator","Angie Homola","(Prefers Democratic Party)",13928,38.01,"Legislative"
"Legislative District 10 - State Senator","Nick Petrish","(Prefers Democratic Party)",3851,10.51,"Legislative"
"Legislative District 10 - State Senator","Barbara Bailey","(Prefers Republican Party)",18860,51.48,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Michael Scott","(Prefers Libertarian Party)",8450,26.86,"Legislative"
"Legislative District 10 - State Representative Pos. 1","Norma Smith","(Prefers Republican Party)",23012,73.14,"Legislative"
"Legislative District 10 - State Representative Pos. 2","Dave Hayes","(Prefers Republican Party)",19717,56.05,"Legislative"
"Legislative District 10 - State Representative Pos. 2","Doris Brevoort","(Prefers Democratic Party)",15460,43.95,"Legislative"
"Legislative District 11 - State Senator","Bob Hasegawa","(Prefers Democratic Party)",15283,79.02,"Legislative"
"Legislative District 11 - State Senator","Dennis Price","(Prefers Libertarian Party)",4058,20.98,"Legislative"
"Legislative District 11 - State Representative Pos. 1","Erin Smith Aboudara","(Prefers Republican Party)",6701,33.67,"Legislative"
"Legislative District 11 - State Representative Pos. 1","Zack Hudgins","(Prefers Democratic Party)",13201,66.33,"Legislative"
"Legislative District 11 - State Representative Pos. 2","Steve Bergquist","(Prefers Democratic Party)",15523,100,"Legislative"
"Legislative District 12 - State Senator","Brad Hawkins","(Prefers Republican Party)",16723,66.2,"Legislative"
"Legislative District 12 - State Senator","Jon Wyss ","(Prefers Republican Party)",8538,33.8,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Cary Condotta","(Prefers Republican Party)",17897,64.32,"Legislative"
"Legislative District 12 - State Representative Pos. 1","Dan Maher","(Prefers Democratic Party)",9928,35.68,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Mike Steele","(Prefers Republican Party)",8129,35.13,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Jerry Paine","(Prefers Republican Party)",6001,25.93,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Danny Stone","(Prefers Republican Party)",3645,15.75,"Legislative"
"Legislative District 12 - State Representative Pos. 2","Garn G. Christensen","(Prefers Republican Party)",5365,23.18,"Legislative"
"Legislative District 13 - State Representative Pos. 1","Tom Dent","(Prefers Republican Party)",17101,100,"Legislative"
"Legislative District 13 - State Representative Pos. 2","Matt Manweller","(Prefers Republican Party)",14883,70.29,"Legislative"
"Legislative District 13 - State Representative Pos. 2","Jordan Webb","(Prefers Democratic Party)",6290,29.71,"Legislative"
"Legislative District 14 - State Senator","Curtis King","(Prefers Republican Party)",14153,69.77,"Legislative"
"Legislative District 14 - State Senator","Amanda Richards","(Prefers Independent GOP Party)",6132,30.23,"Legislative"
"Legislative District 14 - State Representative Pos. 1","Norm Johnson","(Prefers Republican Party)",14920,67.55,"Legislative"
"Legislative District 14 - State Representative Pos. 1","Susan Soto Palmer","(Prefers Democratic Party)",7167,32.45,"Legislative"
"Legislative District 14 - State Representative Pos. 2","John (Eric) Adams","(Prefers Democratic Party)",7256,32.96,"Legislative"
"Legislative District 14 - State Representative Pos. 2","Gina McCabe","(Prefers Republican Party)",14759,67.04,"Legislative"
"Legislative District 15 - State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)",10528,100,"Legislative"
"Legislative District 15 - State Representative Pos. 2","David V. Taylor","(Prefers Republican Party)",4962,38.11,"Legislative"
"Legislative District 15 - State Representative Pos. 2","Dave Kearby","(Prefers Republican Party)",4025,30.91,"Legislative"
"Legislative District 15 - State Representative Pos. 2","AJ Cooper","(Prefers Democrat Party)",4033,30.98,"Legislative"
"Legislative District 16 - State Senator","Maureen Walsh","(Prefers Republican Party)",16044,100,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Allen Pomraning","(Prefers Republican Party)",2659,12.85,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Mary Ruth Edwards","(Prefers Republican Party)",3665,17.72,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Rebecca Francik","(Prefers Democratic Party)",5933,28.68,"Legislative"
"Legislative District 16 - State Representative Pos. 1","William 'Bill' Jenkin","(Prefers Republican Party)",4422,21.38,"Legislative"
"Legislative District 16 - State Representative Pos. 1","Skyler Rude","(Prefers Republican Party)",4006,19.37,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Ricardo Espinoza","(Prefers Republican Party)",1746,8.44,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Terry R. Nealey","(Prefers Republican Party)",12914,62.45,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Gary Downing","(Prefers Democratic Party)",6020,29.11,"Legislative"
"Legislative District 17 - State Senator","Tim Probst","(Prefers Independent Dem. Party)",11553,49.89,"Legislative"
"Legislative District 17 - State Senator","Lynda Wilson","(Prefers Republican Party)",11603,50.11,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Don Orange","(Prefers Democratic Party)",4241,18.42,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Rob Frisina","(Prefers Democratic Party)",1716,7.45,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Joshua Egan","(Prefers Democratic Party)",1077,4.68,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Vicki Kraft","(Prefers Republican Party)",7714,33.51,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Sam Kim","(Prefers Independent Dem Party)",4905,21.31,"Legislative"
"Legislative District 17 - State Representative Pos. 1","Jerry Oliver","(Prefers Republican Party)",3369,14.63,"Legislative"
"Legislative District 17 - State Representative Pos. 2","Richard Colwell","(Prefers Republican Party)",3005,13.38,"Legislative"
"Legislative District 17 - State Representative Pos. 2","Paul Harris","(Prefers Republican Party)",10633,47.35,"Legislative"
"Legislative District 17 - State Representative Pos. 2","Martin Hash","(Prefers Democratic Party)",8820,39.27,"Legislative"
"Legislative District 18 - State Senator","Eric K. Holt","(Prefers Democratic Party)",11029,39.75,"Legislative"
"Legislative District 18 - State Senator","Ann Rivers","(Prefers Republican Party)",16717,60.25,"Legislative"
"Legislative District 18 - State Representative Pos. 1","Brandon Vick","(Prefers Republican Party)",16197,58.25,"Legislative"
"Legislative District 18 - State Representative Pos. 1","Lisa Anderson","(Prefers Independent Dem. Party)",2726,9.8,"Legislative"
"Legislative District 18 - State Representative Pos. 1","Justin Oberg","(Prefers Democratic Party)",8884,31.95,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Shane A. Bowman","(Prefers Republican Party)",4368,15.5,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Liz Pike","(Prefers Republican Party)",11972,42.49,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Kathy Gillespie","(Prefers Independent Dem. Party)",8170,29,"Legislative"
"Legislative District 18 - State Representative Pos. 2","Ilana Brown","(Prefers Democratic Party)",3665,13.01,"Legislative"
"Legislative District 19 - State Senator","Dean Takko","(Prefers Democratic Party)",14848,57.65,"Legislative"
"Legislative District 19 - State Senator","Sue Kuehl Pederson","(Prefers Independent GOP Party)",10909,42.35,"Legislative"
"Legislative District 19 - State Representative Pos. 1","JD Rossetti","(Prefers Democratic Party)",6361,24,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Tim Sutinen","(Prefers Democratic Party)",2180,8.23,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Teresa Purcell","(Prefers Democratic Party)",6411,24.19,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)",7675,28.96,"Legislative"
"Legislative District 19 - State Representative Pos. 1","Val (Halleck) Tinney","(Prefers Republican Party)",3877,14.63,"Legislative"
"Legislative District 19 - State Representative Pos. 2","Jimi O'Hagan","(Prefers Republican Party)",10260,39.08,"Legislative"
"Legislative District 19 - State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)",14470,55.12,"Legislative"
"Legislative District 19 - State Representative Pos. 2","Butch Stavrum","(Prefers Democratic Party)",1523,5.8,"Legislative"
"Legislative District 20 - State Senator","John Braun","(Prefers Republican Party)",20063,100,"Legislative"
"Legislative District 20 - State Representative Pos. 1","Richard DeBolt","(Prefers GOP Party)",19080,100,"Legislative"
"Legislative District 20 - State Representative Pos. 2","Ed Orcutt","(Prefers Republican Party)",19699,100,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Strom Peterson","(Prefers Democratic Party)",18958,77.19,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Alex Hels","(Prefers Libertarian Party)",5601,22.81,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Mohammed Riaz Khan","(States No Party Preference)",1248,4.78,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Bruce Guthrie","(Prefers Libertarian Party)",1652,6.33,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Jeff Scherrer","(Prefers Republican Party)",8449,32.36,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Lillian Ortiz-Self","(Prefers Democratic Party)",14760,56.53,"Legislative"
"Legislative District 22 - State Senator","Erik Lee","(Prefers Democratic Party)",4872,15.01,"Legislative"
"Legislative District 22 - State Senator","Steve Owens","(States No Party Preference)",6934,21.36,"Legislative"
